employee_id,department,job_level,education,performance_score,engagement_score,years_experience,years_at_company,leadership_trait_score,peer_feedback_score,manager_feedback_score,innovation_score,learning_hours,projects_led,promotion_last_3yrs,absenteeism_days,attrition_risk_score,future_leader
EMP10076,Engineering,Senior,,69.8,79.7,6.2,5.1,74.8,3.05,3.43,35.6,44.7,1,1,6,36.4,1
EMP10077,Operations,Junior,PhD,58.0,56.9,7.1,3.6,50.6,2.78,2.9,52.2,78.9,1,0,6,43.1,0
EMP10078,Finance,Lead,Diploma,76.4,58.1,9.8,2.3,47.2,3.58,4.96,53.0,62.1,2,0,6,26.2,0
EMP10079,Marketing,Mid,PhD,52.3,77.9,1.6,0.4,71.3,3.97,4.83,52.6,28.1,1,0,6,20.6,1
EMP10080,Operations,Senior,PhD,67.1,66.6,11.7,5.3,75.3,2.63,4.37,80.5,27.9,3,0,6,51.5,0
EMP10081,HR,Mid,Bachelor,80.4,67.8,6.0,2.2,80.6,4.16,3.48,45.6,58.9,3,1,6,2.6,1
EMP10082,Marketing,Mid,Bachelor,75.3,86.5,8.4,2.6,75.0,,3.54,69.8,28.9,0,1,6,8.9,1
EMP10083,Engineering,Senior,Bachelor,78.5,60.3,9.6,7.9,75.4,3.73,4.72,67.5,21.2,2,1,6,29.7,1
EMP10084,Sales,Senior,Master,71.3,71.2,10.0,3.3,54.2,3.14,3.5,80.4,46.3,2,0,6,56.5,0
EMP10085,Sales,Mid,Diploma,84.9,82.4,6.8,5.6,66.5,3.06,3.31,62.9,34.0,0,1,6,23.4,0
EMP10086,Operations,Senior,Bachelor,82.2,80.5,10.5,7.3,46.9,4.37,5.0,77.7,12.5,4,1,6,38.0,1
EMP10087,HR,Manager,Master,76.9,67.9,18.0,11.1,40.0,2.72,3.72,62.2,24.5,2,0,6,33.3,0
EMP10088,Engineering,Mid,Bachelor,,66.2,8.1,5.2,78.4,4.39,4.99,72.0,13.9,2,0,6,56.4,1
EMP10089,Finance,Mid,Bachelor,80.3,47.4,2.5,1.0,57.5,3.59,2.77,41.0,5.9,1,0,6,7.9,0
EMP10090,Sales,Junior,Bachelor,67.2,56.3,4.0,2.5,80.2,3.64,4.11,22.8,66.4,1,0,6,48.1,0
EMP10091,Operations,Senior,Bachelor,57.2,74.1,11.5,3.7,83.5,2.59,5.0,71.0,30.8,1,1,6,28.1,0
EMP10092,HR,Mid,Diploma,76.6,68.2,8.6,7.0,59.3,3.6,3.77,71.9,25.0,4,0,6,49.4,0
EMP10093,HR,Mid,Bachelor,78.0,71.0,5.1,2.0,76.3,4.1,3.57,72.6,22.1,1,0,6,17.5,0
EMP10094,Engineering,Junior,PhD,84.0,83.5,5.6,2.0,58.7,2.83,2.93,56.6,29.1,1,1,6,30.4,1
EMP10095,Operations,Lead,Master,61.7,54.6,13.0,8.6,42.2,4.02,4.51,88.8,22.0,2,0,6,33.3,0
EMP10096,Engineering,Mid,Bachelor,62.0,66.9,11.7,7.3,69.7,3.76,3.21,57.6,16.8,2,0,6,14.9,0
EMP10097,Sales,Senior,Bachelor,77.1,72.5,7.3,3.6,61.4,3.28,3.68,71.7,22.7,3,1,6,8.9,1
EMP10098,Sales,Junior,Master,71.2,60.8,1.9,1.2,61.8,4.26,2.89,74.5,56.1,0,1,6,23.6,1
EMP10099,Product,Manager,Bachelor,51.3,88.6,12.3,3.7,95.7,2.27,4.84,92.5,45.8,2,1,6,31.4,1
EMP10100,Product,Junior,Diploma,76.1,81.8,1.9,1.2,46.6,3.93,4.56,59.9,22.7,0,0,6,16.7,0
EMP10101,Operations,Junior,Bachelor,51.6,73.8,1.0,0.4,73.4,4.75,3.73,54.5,69.8,0,1,6,25.8,0
EMP10102,Engineering,Lead,,61.6,,4.9,1.8,54.1,4.64,2.94,41.0,27.9,2,1,6,1.0,0
EMP10103,Product,Lead,Master,86.9,,10.0,3.1,80.7,3.95,4.83,89.8,18.9,1,1,6,29.2,1
EMP10104,Marketing,Junior,Bachelor,92.1,69.9,3.8,1.6,72.2,3.5,3.49,71.7,34.7,1,0,6,50.8,1
EMP10105,Operations,Mid,Bachelor,58.6,74.8,4.9,2.0,73.3,3.29,2.98,72.2,60.5,5,0,6,44.2,0
EMP10106,HR,Senior,,68.4,58.1,13.3,6.6,54.8,3.5,2.52,99.0,54.7,4,1,6,33.0,1
EMP10107,Engineering,Lead,Bachelor,72.5,73.9,11.0,3.6,57.3,4.05,3.3,70.2,19.4,2,1,6,36.1,0
EMP10108,Sales,Mid,Bachelor,91.6,55.6,8.8,2.9,81.0,3.18,2.73,44.2,14.9,1,0,6,20.1,0
EMP10109,Product,Mid,Bachelor,66.6,79.0,6.6,3.6,92.8,4.19,,61.9,23.8,3,0,6,60.0,0
EMP10110,HR,Senior,Bachelor,66.8,83.8,10.8,3.1,74.7,5.0,4.27,49.4,37.7,0,1,6,67.1,0
EMP10111,Engineering,Senior,Master,89.0,73.5,9.6,6.2,55.4,3.66,3.49,58.7,42.8,0,0,6,34.7,0
EMP10112,Engineering,Senior,Master,67.9,45.9,12.0,9.8,72.7,2.83,4.0,58.6,50.9,7,0,6,83.4,0
EMP10113,Finance,Mid,Bachelor,79.9,57.4,6.1,2.9,99.0,,3.24,55.6,31.6,0,0,6,22.4,0
EMP10114,Engineering,Junior,PhD,55.8,77.3,4.1,3.2,69.4,4.2,3.8,42.7,32.2,0,0,6,8.6,0
EMP10115,Marketing,Lead,Bachelor,70.1,70.3,11.8,3.1,88.5,3.66,5.0,90.5,31.1,3,1,6,19.6,1
EMP10116,Operations,Lead,Bachelor,53.7,35.0,10.4,2.4,57.6,4.27,3.51,69.8,47.7,2,0,6,34.7,0
EMP10117,Operations,Senior,Master,60.4,86.2,9.9,6.6,67.4,3.35,4.02,61.4,43.2,2,0,6,71.1,0
EMP10118,HR,Junior,Diploma,81.2,71.8,7.9,5.5,76.7,4.24,2.65,77.1,19.0,1,1,6,27.0,0
EMP10119,Operations,Junior,Bachelor,71.5,59.4,2.4,1.8,73.6,3.6,4.81,72.5,40.6,0,1,6,18.8,1
EMP10120,Finance,Senior,Bachelor,68.5,82.9,9.9,2.3,57.3,3.22,3.42,69.4,46.1,1,0,6,13.9,0
EMP10121,Operations,Junior,Master,63.8,61.2,5.8,4.1,56.7,3.44,4.49,76.0,48.0,1,0,6,54.5,0
EMP10122,Sales,Manager,Master,69.6,61.1,15.5,6.9,81.8,2.92,3.66,67.1,34.0,1,1,6,52.0,0
EMP10123,HR,Mid,Bachelor,75.3,74.7,6.0,2.4,84.7,4.99,4.18,75.7,33.0,0,0,6,22.8,0
EMP10124,Sales,Senior,Bachelor,82.8,93.2,3.8,1.2,89.2,3.64,4.22,77.0,28.5,6,0,6,1.0,1
EMP10125,Finance,Lead,Master,43.1,91.1,12.1,10.3,93.3,4.12,3.43,67.6,30.0,6,0,6,8.3,1
EMP10126,Engineering,Mid,Bachelor,62.9,74.7,1.1,0.3,,3.35,4.51,61.5,64.4,1,0,6,62.5,0
EMP10127,Sales,Mid,Bachelor,73.8,76.0,9.2,6.8,63.6,3.02,3.22,89.5,30.6,2,1,6,43.7,0
EMP10128,Sales,Senior,Bachelor,70.9,80.3,9.4,5.8,86.9,3.55,4.29,57.4,19.8,4,0,6,31.7,1
EMP10129,Finance,Mid,Bachelor,76.4,53.7,8.2,5.6,78.0,4.42,3.48,71.3,34.3,1,0,6,69.0,0
EMP10130,Engineering,Mid,Bachelor,74.9,78.4,4.0,2.7,54.2,3.36,3.99,71.6,42.4,0,0,6,66.1,0
EMP10131,Product,Senior,,68.6,60.5,5.6,4.2,53.5,3.13,3.43,55.2,47.0,2,0,6,33.5,0
EMP10132,Finance,Manager,Master,66.2,74.1,13.6,4.3,74.9,3.8,3.78,52.1,16.7,6,0,6,31.3,0
EMP10133,Engineering,Mid,Master,69.3,67.0,5.9,1.2,65.5,4.02,3.0,59.3,57.9,3,1,6,22.5,0
EMP10134,Finance,Junior,Diploma,84.6,76.5,1.9,1.1,67.6,4.77,3.92,57.1,41.6,1,0,6,26.1,0
EMP10135,Sales,Mid,Bachelor,63.9,71.5,6.2,2.7,83.0,3.93,3.78,41.7,56.3,2,0,6,5.4,1
EMP10136,Product,Mid,Bachelor,71.3,30.1,12.1,3.4,78.6,4.12,3.37,54.6,13.3,3,0,6,12.8,0
EMP10137,Finance,Junior,Diploma,74.0,72.3,4.8,1.5,86.6,4.17,3.71,69.3,48.9,1,1,6,1.0,0
EMP10138,Marketing,Junior,Bachelor,89.2,78.3,5.3,2.2,,2.95,3.84,85.3,16.2,2,0,6,50.4,0
EMP10139,Sales,Senior,Master,68.7,75.8,10.9,2.7,71.5,3.07,3.32,73.9,25.3,3,1,6,3.3,1
EMP10140,Finance,Mid,Master,82.5,68.7,9.3,2.2,77.7,,3.66,23.4,42.3,1,1,6,67.7,0
EMP10141,Finance,Manager,Bachelor,85.6,91.3,12.6,10.0,46.6,2.83,3.05,75.3,15.3,0,0,6,15.4,0
EMP10142,Product,Junior,Bachelor,71.3,74.0,0.0,0.0,58.8,4.22,5.0,56.1,21.9,1,0,6,63.0,0
EMP10143,Finance,Junior,Bachelor,69.7,75.7,2.6,2.2,56.2,3.89,4.49,72.2,13.2,3,0,6,24.8,0
EMP10144,HR,Senior,Bachelor,68.4,83.6,10.8,8.9,68.3,3.75,3.94,64.8,41.7,4,1,6,1.8,1
EMP10145,Engineering,Lead,Bachelor,69.2,74.7,8.9,2.6,90.8,2.01,4.57,61.9,18.8,2,1,6,54.7,0
EMP10146,Engineering,Mid,Bachelor,81.4,58.3,5.6,3.7,96.3,5.0,2.36,63.4,29.6,0,0,6,59.7,0
EMP10147,Finance,Junior,Master,74.5,38.3,1.5,0.9,56.6,3.12,1.96,64.6,36.0,0,0,6,21.8,0
EMP10148,HR,Junior,Diploma,74.6,63.8,6.3,4.1,75.4,5.0,3.47,86.5,34.1,0,0,6,27.5,0
EMP10149,Sales,Mid,Master,59.6,79.9,7.6,2.0,75.8,,2.79,64.7,32.6,2,0,6,14.3,0
EMP10150,Marketing,Mid,Bachelor,61.4,65.4,7.4,2.4,73.4,3.17,3.58,82.4,32.6,2,1,6,31.1,0
EMP10151,Product,Mid,Bachelor,95.6,80.4,7.4,1.8,73.6,2.27,3.89,80.0,13.7,2,1,6,32.5,0
EMP10152,Sales,Junior,Bachelor,70.0,71.9,2.9,1.7,72.3,3.94,4.39,75.7,26.0,1,0,6,25.7,0
EMP10153,Finance,Mid,Bachelor,63.5,86.7,6.4,5.4,91.6,2.98,2.95,36.4,32.4,3,1,6,1.0,1
EMP10154,Sales,Manager,Diploma,87.7,66.2,10.4,6.6,83.4,3.0,4.03,82.9,30.7,5,1,6,22.6,1
EMP10155,Operations,Senior,Bachelor,75.1,76.1,4.2,2.8,53.2,2.81,3.76,57.7,27.6,3,0,6,44.0,0
EMP10156,Engineering,Mid,Bachelor,78.4,76.6,6.3,5.3,79.1,4.21,3.99,76.5,20.2,3,0,6,27.5,1
EMP10157,Operations,Junior,PhD,70.5,89.5,3.7,2.4,80.5,,3.39,49.4,33.8,3,0,6,23.0,1
EMP10158,Operations,Mid,Bachelor,68.5,,8.7,2.0,72.4,4.88,4.72,46.0,36.9,1,1,6,19.6,0
EMP10159,Marketing,Mid,Bachelor,70.1,64.0,9.5,7.3,83.8,3.25,3.68,96.6,23.5,1,1,6,22.5,1
EMP10160,Sales,Senior,Bachelor,56.8,81.0,12.5,5.5,70.6,3.84,4.99,49.7,47.1,2,0,6,55.8,0
EMP10161,Product,Lead,Master,,90.1,8.8,1.8,70.8,,3.2,83.3,58.5,3,0,6,8.3,0
EMP10162,Engineering,Lead,Master,75.3,73.1,10.2,5.4,69.7,3.48,4.27,66.9,29.9,1,0,6,44.8,0
EMP10163,Sales,Manager,,92.4,66.2,14.1,11.4,39.7,3.36,3.71,58.3,19.2,5,0,6,33.9,0
EMP10164,Finance,Manager,Diploma,72.9,79.8,18.6,6.8,66.9,4.0,3.52,64.3,15.2,2,0,6,35.0,0
EMP10165,Engineering,Manager,PhD,46.3,81.3,16.3,8.5,58.6,4.36,4.19,44.2,25.1,5,1,6,17.2,0
EMP10166,Marketing,Junior,,,65.3,5.5,1.7,51.4,4.34,3.54,64.8,28.8,0,0,6,26.9,0
EMP10167,Marketing,Junior,Bachelor,99.0,74.3,2.1,0.5,88.1,3.15,1.89,47.7,14.8,3,1,6,31.5,0
EMP10168,Engineering,Mid,Bachelor,81.5,85.3,4.1,1.0,75.1,4.35,1.61,58.7,24.7,2,0,6,20.3,0
EMP10169,Product,Mid,PhD,63.1,94.6,7.7,5.2,67.6,3.67,4.64,79.8,45.9,4,0,6,33.9,0
EMP10170,Engineering,Junior,Bachelor,78.5,79.7,0.6,0.5,60.1,3.49,4.61,69.1,8.2,1,1,6,38.9,0
EMP10171,Finance,Lead,Master,63.8,70.6,10.5,3.1,72.1,3.24,5.0,41.3,30.8,1,0,6,71.4,0
EMP10172,Engineering,Senior,Master,57.1,69.3,8.7,3.4,81.9,3.34,3.74,78.6,21.8,4,0,6,37.5,0
EMP10173,Product,Mid,Bachelor,68.2,77.2,9.5,3.1,56.4,4.83,2.85,64.9,29.2,0,1,6,1.0,1
EMP10174,Engineering,Junior,,73.0,68.5,2.2,0.5,,3.9,3.46,56.3,60.1,0,0,6,53.6,0
EMP10175,Sales,Mid,Diploma,51.4,72.5,0.6,0.3,80.2,3.81,3.76,76.9,28.5,1,0,6,28.3,0
EMP10176,HR,Junior,Master,59.4,56.2,4.1,2.7,,3.53,3.05,62.3,26.4,2,0,6,71.1,0
EMP10177,Product,Lead,Bachelor,72.1,86.9,9.5,5.9,,5.0,4.9,46.3,40.4,0,0,6,55.8,1
EMP10178,Product,Mid,PhD,67.5,55.2,6.1,2.8,62.0,4.55,5.0,94.6,34.0,1,0,6,26.0,0
EMP10179,Operations,Senior,Master,76.3,64.4,8.8,4.9,66.1,3.23,4.08,64.7,30.9,1,1,6,46.4,0
EMP10180,Product,Mid,Master,58.6,71.3,5.4,1.4,61.0,3.52,3.74,63.7,34.6,1,0,6,21.5,0
EMP10181,Product,Mid,PhD,79.9,95.9,7.7,2.3,69.9,3.56,2.84,58.5,52.1,1,0,6,27.8,1
EMP10182,Finance,Mid,Master,59.0,64.5,2.6,2.1,94.9,3.79,4.83,83.9,44.5,3,1,6,45.6,1
EMP10183,Engineering,Senior,Bachelor,90.1,61.3,7.9,5.5,63.5,3.24,3.8,56.6,25.5,2,0,6,54.0,0
EMP10184,Marketing,Senior,Bachelor,53.1,62.8,10.5,8.4,72.1,3.99,3.55,40.3,58.5,2,0,6,49.8,0
EMP10185,Operations,Junior,Bachelor,60.0,91.6,1.6,1.3,95.9,4.64,4.09,54.1,22.5,3,0,6,29.9,1
EMP10186,Engineering,Manager,Master,76.6,33.4,9.5,5.9,60.3,2.85,3.34,86.2,30.8,4,0,6,83.7,0
EMP10187,Sales,Junior,Master,90.3,57.0,4.5,3.6,93.4,2.97,3.85,78.3,32.6,1,0,6,28.2,1
EMP10188,Operations,Lead,Master,75.5,99.0,13.5,6.4,68.1,3.39,2.74,60.9,24.9,0,0,6,1.0,0
EMP10189,Engineering,Junior,Bachelor,78.2,77.7,2.9,0.6,92.9,3.42,4.51,87.0,55.4,0,0,6,5.5,1
EMP10190,Product,Mid,Master,72.2,55.6,1.7,0.4,78.5,5.0,3.68,77.0,24.3,3,0,6,61.5,0
EMP10191,Engineering,Lead,Diploma,60.7,69.5,12.6,3.4,72.3,4.35,4.56,60.7,27.4,3,0,6,31.1,0
EMP10192,Sales,Junior,Bachelor,66.6,70.9,0.0,0.0,67.1,4.31,3.61,62.3,47.7,1,0,6,35.1,0
EMP10193,Marketing,Mid,Master,58.7,81.0,6.7,2.9,59.3,3.53,3.65,70.3,23.0,2,0,6,20.7,0
EMP10194,Sales,Mid,Master,57.9,93.9,4.0,2.6,69.1,3.51,2.9,51.7,14.4,2,0,6,19.9,0
EMP10195,Engineering,Junior,Master,76.4,75.1,0.4,0.3,80.6,2.76,4.28,65.1,31.3,1,1,6,17.3,1
EMP10196,Finance,Senior,Bachelor,59.6,63.0,8.0,4.7,67.8,4.21,3.14,69.9,16.9,2,0,6,42.1,0
EMP10197,Marketing,Lead,Master,,80.2,10.6,3.1,63.6,4.02,3.41,38.0,15.9,4,0,6,28.8,0
EMP10198,Engineering,Lead,Diploma,57.7,60.9,9.6,6.6,64.5,4.54,3.75,62.0,8.3,2,0,6,41.9,0
EMP10199,Engineering,Mid,Master,75.3,56.6,7.3,3.1,81.9,3.56,3.83,60.2,9.0,2,0,6,40.9,0
EMP10200,Marketing,Mid,Diploma,,47.1,5.0,1.0,85.2,3.61,2.56,81.4,9.5,2,0,6,28.9,0
EMP10201,Product,Junior,Diploma,87.5,49.7,5.2,2.0,58.7,,3.59,35.5,62.3,1,1,6,9.8,0
EMP10202,Finance,Junior,Bachelor,75.6,58.3,3.6,1.5,58.6,4.28,4.31,58.9,9.5,0,0,6,6.7,0
EMP10203,Sales,Junior,Master,85.6,54.7,1.5,0.6,73.3,2.74,3.49,57.3,16.6,2,0,6,89.6,0
EMP10204,Sales,Manager,,63.7,74.1,11.1,8.1,89.4,4.18,3.59,80.4,27.6,6,1,6,58.3,1
EMP10205,Engineering,Lead,Diploma,72.6,54.4,7.4,5.1,84.0,3.69,3.86,64.3,39.5,3,0,6,59.3,1
EMP10206,Sales,Senior,Bachelor,61.2,29.1,9.6,6.3,50.5,3.01,3.66,93.7,41.5,2,1,6,27.6,0
